"Control_1" "Control_2" "ToxA_1" "ToxA_2" "ToxB_1" "ToxB_2"
"HGLibA_00001" 0 7 3 2 2 8
"HGLibA_00002" 0 0 0 0 0 0
"HGLibA_00003" 1 0 0 0 0 0
"HGLibA_00004" 9 0 0 0 0 1
"HGLibA_00005" 1 8 1 0 1 1
"HGLibA_00006" 1 26 0 0 0 0
"HGLibA_00007" 6 0 0 1 0 0
"HGLibA_00008" 0 0 5 0 3 1
"HGLibA_00009" 2 1 0 0 0 0
"HGLibA_00010" 0 6 0 0 0 0
"HGLibA_00011" 0 7 0 0 0 0
"HGLibA_00012" 1 3 71 57 3 1
"HGLibA_00013" 6 0 0 0 0 0
"HGLibA_00014" 0 6 0 0 0 0
"HGLibA_00015" 0 0 0 0 0 0
"HGLibA_00016" 0 17 0 0 2 1
"HGLibA_00017" 0 0 0 0 1 1
"HGLibA_00018" 5 14 0 2 0 0
"HGLibA_00019" 4 10 0 9 0 2
"HGLibA_00020" 0 0 0 0 1 0
"HGLibA_00021" 0 0 0 0 0 0
"HGLibA_00022" 0 0 0 0 0 0
"HGLibA_00023" 2 3 0 0 1 1
"HGLibA_00024" 0 0 0 0 0 0
"HGLibA_00025" 0 2 0 0 0 0
"HGLibA_00026" 3 0 0 0 0 0
"HGLibA_00027" 0 25 0 0 0 0
"HGLibA_00028" 0 4 0 0 0 2
"HGLibA_00029" 0 11 0 0 0 0
"HGLibA_00030" 0 0 1 0 1 2
"HGLibA_00031" 0 2 0 0 0 0
"HGLibA_00032" 0 0 0 0 0 0
"HGLibA_00033" 1 0 0 0 0 0
"HGLibA_00034" 0 1 0 0 0 0
"HGLibA_00035" 0 1 0 0 0 0
"HGLibA_00036" 1 0 0 1 0 0
"HGLibA_00037" 2 8 0 0 0 0
"HGLibA_00038" 0 4 0 0 0 1
"HGLibA_00039" 0 1 0 0 0 0
"HGLibA_00040" 13 14 13 8 0 0
"HGLibA_00041" 0 0 0 0 0 0
"HGLibA_00042" 0 0 0 0 0 0
"HGLibA_00043" 0 0 0 0 0 0
"HGLibA_00044" 0 3 0 0 0 0
"HGLibA_00045" 0 0 2 0 0 2
"HGLibA_00046" 1 13 0 0 0 1
"HGLibA_00047" 4 1 0 0 0 0
"HGLibA_00048" 3 1 0 0 0 0
"HGLibA_00049" 0 0 0 0 0 0
"HGLibA_00050" 2 5 0 0 0 0
"HGLibA_00051" 0 2 0 4 0 0
"HGLibA_00052" 0 0 0 0 0 0
"HGLibA_00053" 2 1 0 0 0 0
"HGLibA_00054" 5 1 0 0 0 0
"HGLibA_00055" 6 0 0 0 0 0
"HGLibA_00056" 0 0 0 0 0 0
"HGLibA_00057" 16 6 0 0 0 0
"HGLibA_00058" 0 0 0 0 0 0
"HGLibA_00059" 1 11 0 0 1 0
"HGLibA_00060" 0 2 0 0 0 0
"HGLibA_00061" 7 10 0 0 65 58
"HGLibA_00062" 15 12 7 2 0 0
"HGLibA_00063" 0 0 0 0 0 0
"HGLibA_00064" 16 4 0 0 0 0
"HGLibA_00065" 2 5 0 1 0 0
"HGLibA_00066" 0 3 0 0 0 0
"HGLibA_00067" 0 0 0 0 0 0
"HGLibA_00068" 0 0 0 0 0 0
"HGLibA_00069" 4 6 0 2 2 2
"HGLibA_00070" 0 0 0 0 0 0
"HGLibA_00071" 0 0 0 0 0 0
"HGLibA_00072" 1 1 0 0 0 0
"HGLibA_00073" 1 14 0 0 0 0
"HGLibA_00074" 6 1 23 12 0 0
"HGLibA_00075" 0 0 1 0 3 2
"HGLibA_00076" 0 0 0 0 6 2
"HGLibA_00077" 4 5 0 0 0 0
"HGLibA_00078" 0 0 0 0 0 0
"HGLibA_00079" 4 7 0 0 0 0
"HGLibA_00080" 4 0 0 0 0 0
"HGLibA_00081" 0 6 0 8 6 4
"HGLibA_00082" 0 0 0 0 0 0
"HGLibA_00083" 0 0 0 0 0 0
"HGLibA_00084" 0 2 0 4 0 0
"HGLibA_00085" 0 0 0 0 0 0
"HGLibA_00086" 0 8 2 4 0 0
"HGLibA_00087" 0 0 0 0 0 0
"HGLibA_00088" 0 1 0 2 0 0
"HGLibA_00089" 0 0 0 0 0 0
"HGLibA_00090" 1 15 0 4 0 3
"HGLibA_00091" 1 0 137 129 0 0
"HGLibA_00092" 0 0 0 0 1 0
"HGLibA_00093" 1 3 0 0 0 1
"HGLibA_00094" 3 4 0 0 0 0
"HGLibA_00095" 4 0 1 0 1 2
"HGLibA_00096" 6 0 3 1 6 4
"HGLibA_00097" 0 1 0 0 0 0
"HGLibA_00098" 0 1 2 1 0 0
"HGLibA_00099" 0 0 0 0 0 0
"HGLibA_00100" 0 0 0 0 0 0
"HGLibA_00101" 2 4 17 15 1 0
"HGLibA_00102" 1 4 0 0 0 0
"HGLibA_00103" 9 14 0 0 0 0
"HGLibA_00104" 3 1 2 8 13 8
"HGLibA_00105" 0 0 0 0 0 0
"HGLibA_00106" 1 8 0 0 0 3
"HGLibA_00107" 1 0 0 0 0 0
"HGLibA_00108" 0 1 0 0 0 0
"HGLibA_00109" 0 0 0 0 0 0
