"","Symbol","logFC","logCPM","LR","PValue","FDR","sgRNA","Gene_Regulation"
"HGLibB_38324","PRDM13",11.5160583539999,10.7836439277717,208.469792633218,2.96291616985438e-47,1.69991389413055e-42,"HGLibB_38324","Enriched in ToxA"
"HGLibB_33525","OR11H1",7.84638436029502,8.14914978249055,173.538662267082,1.24833950946665e-39,3.5810491338315e-35,"HGLibB_33525","Enriched in ToxA"
"HGLibA_32966","NUDT2",11.6974376570668,8.73444347036112,165.545099077621,6.95401213739641e-38,1.32990846119615e-33,"HGLibA_32966","Enriched in ToxA"
"HGLibA_22142","HS6ST1",8.99515710165249,10.0287867631194,132.445236796145,1.19559694873098e-30,1.71487459348856e-26,"HGLibA_22142","Enriched in ToxA"
"HGLibA_07161","CAPN15",8.3414909443497,9.13858135948224,126.476039256076,2.419048193561e-29,2.7757610401835e-25,"HGLibA_07161","Enriched in ToxA"
"HGLibA_36228","PGC",10.5467144699114,7.59039455130549,123.967118077201,8.56512756242785e-29,8.19011772731955e-25,"HGLibA_36228","Enriched in ToxA"
"HGLibB_45542","SMAP1",7.4853735023224,7.690193994619,121.264211960203,3.34483184162045e-28,2.74147196070415e-24,"HGLibB_45542","Enriched in ToxA"
"HGLibA_15804","EXT2",5.98759676749986,8.06646113153021,120.588531776862,4.70208431727378e-28,3.37215854418686e-24,"HGLibA_15804","Enriched in ToxA"
"HGLibB_45454","SLIT2",11.5099472538472,8.72137286531168,119.85886112296,6.79255630738876e-28,4.33010370026462e-24,"HGLibB_45454","Enriched in ToxA"
"HGLibA_38909","PRSS2",10.9643284764993,7.96908654291477,116.217846984954,4.25852395628146e-27,2.22112995403397e-23,"HGLibA_38909","Enriched in ToxA"
"HGLibA_17238","FCRL5",7.85397682936645,7.38873783361396,114.93502816387,8.13185939733878e-27,3.88790974336265e-23,"HGLibA_17238","Enriched in ToxA"
"HGLibB_23505","IQGAP3",10.0886276871155,9.38815027434356,112.808399337161,2.37666863641773e-26,1.04889699751688e-22,"HGLibB_23505","Enriched in ToxA"
"HGLibA_08346","CD300LG",7.43623563942573,7.63391930138569,112.136796200367,3.33487803498024e-26,1.36665683929229e-22,"HGLibA_08346","Enriched in ToxA"
"HGLibA_17021","FBXL8",8.2521310299234,8.66545033889219,111.591099458995,4.39154812754077e-26,1.67970860480931e-22,"HGLibA_17021","Enriched in ToxA"
"HGLibB_36134","PFN3",7.35777108656628,7.56782749405924,108.659291453032,1.92722524060909e-25,6.9106683580916e-22,"HGLibB_36134","Enriched in ToxA"
"HGLibA_38779","PRR14",10.6637177837976,7.71045380435474,108.437848306706,2.155030505362e-25,7.27297442259611e-22,"HGLibA_38779","Enriched in ToxA"
